dataset,subject,session,fmap,task
PNC,3373396339,PNC1,none,task-idemo_acq-VARIANTNumVolumesNoFmap
PNC,3374628517,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3374628517,PNC1,phasediff,task-idemo
PNC,3376877661,PNC1,none,task-frac2back_acq-VARIANTNumVolumesNoFmap
PNC,3376877661,PNC1,none,task-idemo_acq-VARIANTNoFmap
PNC,3486713588,PNC1,none,task-frac2back_acq-VARIANTNumVolumesNoFmap
PNC,3486713588,PNC1,none,task-idemo_acq-VARIANTNoFmap
PNC,3566300931,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3675176980,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3692156343,PNC1,phasediff,task-frac2back
PNC,3692156343,PNC1,phasediff,task-idemo_acq-VARIANTNumVolumes
PNC,3692156343,PNC1,phasediff,task-rest_acq-singleband
PNC,3726299659,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3726299659,PNC1,phasediff,task-idemo
PNC,3743186010,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3743186010,PNC1,phasediff,task-idemo
PNC,3762475569,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3762475569,PNC1,phasediff,task-idemo
PNC,3762475569,PNC1,phasediff,task-rest_acq-singleband
PNC,3814863545,PNC1,phasediff,task-frac2back
PNC,3814863545,PNC1,phasediff,task-idemo_acq-VARIANTNumVolumes
PNC,3818082974,PNC1,none,task-frac2back_acq-VARIANTNoFmap
PNC,3818082974,PNC1,none,task-idemo_acq-VARIANTNoFmap
PNC,3874353588,PNC1,none,task-frac2back_acq-VARIANTNumVolumesNoFmap
PNC,3874353588,PNC1,none,task-idemo_acq-VARIANTNumVolumesNoFmap
PNC,3892575145,PNC1,phasediff,task-frac2back
PNC,3892575145,PNC1,phasediff,task-idemo
PNC,3892575145,PNC1,phasediff,task-rest_acq-singlebandVARIANTNumVolumes
PNC,3957619959,PNC1,phasediff,task-frac2back
PNC,3957619959,PNC1,phasediff,task-idemo
PNC,3972288841,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,3972288841,PNC1,phasediff,task-idemo
PNC,405373926,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,405373926,PNC1,phasediff,task-idemo
PNC,405373926,PNC1,phasediff,task-rest_acq-singleband
PNC,4067048825,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,4067048825,PNC1,phasediff,task-idemo
PNC,4172833860,PNC1,phasediff,task-frac2back
PNC,4172833860,PNC1,phasediff,task-idemo
PNC,4172833860,PNC1,phasediff,task-rest_acq-singlebandVARIANTNumVolumes
PNC,4190603704,PNC1,phasediff,task-frac2back
PNC,4190603704,PNC1,phasediff,task-idemo
PNC,4190603704,PNC1,phasediff,task-rest_acq-singlebandVARIANTNumVolumes
PNC,4268231041,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,4268231041,PNC1,phasediff,task-idemo
PNC,4268231041,PNC1,phasediff,task-rest_acq-singleband
PNC,4290234295,PNC1,phasediff,task-frac2back
PNC,4290234295,PNC1,phasediff,task-idemo
PNC,4290234295,PNC1,phasediff,task-rest_acq-singlebandVARIANTNumVolumes
PNC,440314957,PNC1,none,task-frac2back_acq-VARIANTNumVolumesNoFmap
PNC,470135601,PNC1,none,task-frac2back_acq-VARIANTNoFmap
PNC,470135601,PNC1,none,task-idemo_acq-VARIANTNoFmap
PNC,470135601,PNC1,none,task-rest_acq-100VARIANTNoFmap
PNC,470135601,PNC1,none,task-rest_acq-singlebandVARIANTNoFmap
PNC,473767958,PNC1,none,task-frac2back_acq-VARIANTNumVolumesNoFmap
PNC,494764211,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,494764211,PNC1,phasediff,task-idemo
PNC,498628252,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,498628252,PNC1,phasediff,task-idemo
PNC,500081009,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,500081009,PNC1,phasediff,task-idemo
PNC,56162563,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,56162563,PNC1,phasediff,task-idemo
PNC,56162563,PNC1,phasediff,task-rest_acq-singleband
PNC,578652819,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,624076698,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,624076698,PNC1,phasediff,task-idemo
PNC,624076698,PNC1,phasediff,task-rest_acq-singleband
PNC,681935372,PNC1,phasediff,task-frac2back
PNC,681935372,PNC1,phasediff,task-idemo
PNC,681935372,PNC1,phasediff,task-rest_acq-singlebandVARIANTNumVolumes
PNC,741738961,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
PNC,741738961,PNC1,phasediff,task-idemo
PNC,746172812,PNC1,phasediff,task-frac2back
PNC,746172812,PNC1,phasediff,task-idemo_acq-VARIANTNumVolumes
PNC,746172812,PNC1,phasediff,task-rest_acq-singleband
PNC,747098283,PNC1,phasediff,task-frac2back
PNC,747098283,PNC1,phasediff,task-idemo_acq-VARIANTNumVolumes
PNC,74920331,PNC1,phasediff,task-frac2back
PNC,74920331,PNC1,phasediff,task-rest_acq-singleband
PNC,8454119,PNC1,phasediff,task-frac2back
PNC,8454119,PNC1,phasediff,task-idemo_acq-VARIANTNumVolumes
PNC,926616751,PNC1,phasediff,task-frac2back
PNC,926616751,PNC1,phasediff,task-idemo_acq-VARIANTNumVolumes
PNC,977404127,PNC1,phasediff,task-frac2back
PNC,977404127,PNC1,phasediff,task-idemo
PNC,977404127,PNC1,phasediff,task-rest_acq-100
PNC,977404127,PNC1,phasediff,task-rest_acq-singleband
PNC,984757368,PNC1,phasediff,task-frac2back_acq-VARIANTNumVolumes
