method,trial,nrow,nelem,rt,val
vaex,5,100000,10000,3.606437459588051,0.0003079791186648099
vaex,6,1000,10,0.037566209211945534,0.01183288630751673
vaex,6,1000,100,0.033051242120563984,-0.0027037305536025975
vaex,6,1000,1000,0.03420697245746851,-0.005409076646064335
vaex,6,1000,10000,0.17585537862032652,6.186438758137779e-05
vaex,6,10000,10,0.06332934647798538,-0.01789649393032802
vaex,6,10000,100,0.10579400323331356,-0.009228455319404378
vaex,6,10000,1000,0.21508304681628942,-0.0031270148504423797
vaex,6,10000,10000,0.6017188066616654,0.00045249363902440673
vaex,6,100000,10,0.1825629621744156,-0.01763386001132753
vaex,6,100000,100,0.27078918367624283,0.016379920782018047
vaex,6,100000,1000,0.6451973048970103,0.001978444880077422
vaex,6,100000,10000,2.898599959909916,0.0003079791186648099
vaex,7,1000,10,0.022703584283590317,0.01183288630751673
vaex,7,1000,100,0.01727619580924511,-0.0027037305536025975
vaex,7,1000,1000,0.029061492532491684,-0.005409076646064335
vaex,7,1000,10000,0.1106577841565013,6.186438758137779e-05
vaex,7,10000,10,0.03057436179369688,-0.01789649393032802
vaex,7,10000,100,0.03766459412872791,-0.009228455319404378
vaex,7,10000,1000,0.0751907667145133,-0.0031270148504423797
vaex,7,10000,10000,0.4184088008478284,0.00045249363902440673
vaex,7,100000,10,0.174705620855093,-0.01763386001132753
vaex,7,100000,100,0.25770104955881834,0.016379920782018047
vaex,7,100000,1000,0.5509036723524332,0.001978444880077422
vaex,7,100000,10000,4.358169756829739,0.0003079791186648099
vaex,8,1000,10,0.08763094246387482,0.01183288630751673
vaex,8,1000,100,0.16054340172559023,-0.0027037305536025975
vaex,8,1000,1000,0.03585108928382397,-0.005409076646064335
vaex,8,1000,10000,0.13160832785069942,6.186438758137779e-05
vaex,8,10000,10,0.03585393354296684,-0.01789649393032802
vaex,8,10000,100,0.132872661575675,-0.009228455319404378
vaex,8,10000,1000,0.12775846011936665,-0.0031270148504423797
vaex,8,10000,10000,0.3536472739651799,0.00045249363902440673
vaex,8,100000,10,0.15148809179663658,-0.01763386001132753
vaex,8,100000,100,0.22813346795737743,0.016379920782018047
vaex,8,100000,1000,0.6174505213275552,0.001978444880077422
vaex,8,100000,10000,2.9482199186459184,0.0003079791186648099
vaex,9,1000,10,0.022133123129606247,0.01183288630751673
vaex,9,1000,100,0.016353953629732132,-0.0027037305536025975
vaex,9,1000,1000,0.0281662717461586,-0.005409076646064335
vaex,9,1000,10000,0.08789609931409359,6.186438758137779e-05
vaex,9,10000,10,0.03436230402439833,-0.01789649393032802
vaex,9,10000,100,0.04011482372879982,-0.009228455319404378
vaex,9,10000,1000,0.07360739447176456,-0.0031270148504423797
vaex,9,10000,10000,0.36556354723870754,0.00045249363902440673
vaex,9,100000,10,0.20501330215483904,-0.01763386001132753
vaex,9,100000,100,0.2423597378656268,0.016379920782018047
vaex,9,100000,1000,0.5258610174059868,0.001978444880077422
vaex,9,100000,10000,3.6059676967561245,0.0003079791186648099
vaex,10,1000,10,0.03561767190694809,0.01183288630751673
vaex,10,1000,100,0.03368831891566515,-0.0027037305536025975
vaex,10,1000,1000,0.043225014582276344,-0.005409076646064335
vaex,10,1000,10000,0.16410519648343325,6.186438758137779e-05
vaex,10,10000,10,0.03481489419937134,-0.01789649393032802
vaex,10,10000,100,0.06843477580696344,-0.009228455319404378
vaex,10,10000,1000,0.16275801695883274,-0.0031270148504423797
vaex,10,10000,10000,0.3381731668487191,0.00045249363902440673
vaex,10,100000,10,0.1611907845363021,-0.01763386001132753
vaex,10,100000,100,0.22827660758048296,0.016379920782018047
vaex,10,100000,1000,0.613205629400909,0.001978444880077422
vaex,10,100000,10000,3.071765567176044,0.0003079791186648099
vaex,11,1000,10,0.02328800316900015,0.01183288630751673
vaex,11,1000,100,0.0195549838244915,-0.0027037305536025975
vaex,11,1000,1000,0.027413077652454376,-0.005409076646064335
vaex,11,1000,10000,0.08402129914611578,6.186438758137779e-05
vaex,11,10000,10,0.030556720681488514,-0.01789649393032802
vaex,11,10000,100,0.0410123597830534,-0.009228455319404378
vaex,11,10000,1000,0.07490427233278751,-0.0031270148504423797
vaex,11,10000,10000,0.37874281592667103,0.00045249363902440673
vaex,11,100000,10,0.16355883050709963,-0.01763386001132753
vaex,11,100000,100,0.2524851690977812,0.016379920782018047
vaex,11,100000,1000,0.4349512681365013,0.001978444880077422
vaex,11,100000,10000,3.91008507553488,0.0003079791186648099
vaex,12,1000,10,0.035366310738027096,0.01183288630751673
vaex,12,1000,100,0.039770739153027534,-0.0027037305536025975
vaex,12,1000,1000,0.03463575802743435,-0.005409076646064335
vaex,12,1000,10000,0.18026658985763788,6.186438758137779e-05
vaex,12,10000,10,0.03863538708537817,-0.01789649393032802
vaex,12,10000,100,0.09422970470041037,-0.009228455319404378
vaex,12,10000,1000,0.15414893347769976,-0.0031270148504423797
vaex,12,10000,10000,0.32751903496682644,0.00045249363902440673
vaex,12,100000,10,0.15653960220515728,-0.01763386001132753
vaex,12,100000,100,0.23128477577120066,0.016379920782018047
vaex,12,100000,1000,1.1190337669104338,0.001978444880077422
vaex,12,100000,10000,3.2452031541615725,0.0003079791186648099
vaex,13,1000,10,0.02273987326771021,0.01183288630751673
vaex,13,1000,100,0.01739431731402874,-0.0027037305536025975
vaex,13,1000,1000,0.026898913085460663,-0.005409076646064335
vaex,13,1000,10000,0.08741386886686087,6.186438758137779e-05
vaex,13,10000,10,0.030237611383199692,-0.01789649393032802
vaex,13,10000,100,0.041068315505981445,-0.009228455319404378
vaex,13,10000,1000,0.10339363105595112,-0.0031270148504423797
vaex,13,10000,10000,0.3083225432783365,0.00045249363902440673
vaex,13,100000,10,0.19244429282844067,-0.01763386001132753
vaex,13,100000,100,0.2533169314265251,0.016379920782018047
vaex,13,100000,1000,0.43931578285992146,0.001978444880077422
vaex,13,100000,10000,3.9863924821838737,0.0003079791186648099
vaex,14,1000,10,0.24948265217244625,0.01183288630751673
vaex,14,1000,100,0.200083265081048,-0.0027037305536025975
vaex,14,1000,1000,0.03477662242949009,-0.005409076646064335
vaex,14,1000,10000,0.1563493348658085,6.186438758137779e-05
vaex,14,10000,10,0.036801885813474655,-0.01789649393032802
vaex,14,10000,100,0.06689558550715446,-0.009228455319404378
vaex,14,10000,1000,0.1954202400520444,-0.0031270148504423797
vaex,14,10000,10000,0.35264801420271397,0.00045249363902440673
vaex,14,100000,10,0.15581147465854883,-0.01763386001132753
vaex,14,100000,100,0.26999922189861536,0.016379920782018047
vaex,14,100000,1000,0.6266489084810019,0.001978444880077422
vaex,14,100000,10000,3.264427768997848,0.0003079791186648099
