method,trial,nrow,nelem,rt,val
pandas,12,10000,100,0.017284024506807327,-0.009228455319404378
pandas,12,10000,1000,0.10788502730429173,-0.0031270148504423797
pandas,12,10000,10000,1.077481254003942,0.00045249363902440673
pandas,12,100000,10,0.041776273399591446,-0.01763386001132753
pandas,12,100000,100,0.14152532257139683,0.016379920782018047
pandas,12,100000,1000,1.1359898056834936,0.001978444880077422
pandas,12,100000,10000,10.644256679341197,0.0003079791186648099
pandas,13,1000,10,0.006527045741677284,0.01183288630751673
pandas,13,1000,100,0.00606066919863224,-0.0027037305536025975
pandas,13,1000,1000,0.01581807155162096,-0.005409076646064335
pandas,13,1000,10000,0.12172266002744436,6.186438758137779e-05
pandas,13,10000,10,0.009667964652180672,-0.01789649393032802
pandas,13,10000,100,0.018006050027906895,-0.009228455319404378
pandas,13,10000,1000,0.11585198622196913,-0.0031270148504423797
pandas,13,10000,10000,1.1276325546205044,0.00045249363902440673
pandas,13,100000,10,0.043037121184170246,-0.01763386001132753
pandas,13,100000,100,0.136688400991261,0.016379920782018047
pandas,13,100000,1000,1.1967499163001776,0.001978444880077422
pandas,13,100000,10000,10.597980217076838,0.0003079791186648099
pandas,14,1000,10,0.006438980810344219,0.01183288630751673
pandas,14,1000,100,0.006140680052340031,-0.0027037305536025975
pandas,14,1000,1000,0.014757170341908932,-0.005409076646064335
pandas,14,1000,10000,0.11427589785307646,6.186438758137779e-05
pandas,14,10000,10,0.009431760758161545,-0.01789649393032802
pandas,14,10000,100,0.01770311128348112,-0.009228455319404378
pandas,14,10000,1000,0.11229566019028425,-0.0031270148504423797
pandas,14,10000,10000,1.0245178807526827,0.00045249363902440673
pandas,14,100000,10,0.041964005678892136,-0.01763386001132753
pandas,14,100000,100,0.13774116896092892,0.016379920782018047
pandas,14,100000,1000,1.1237553795799613,0.001978444880077422
pandas,14,100000,10000,10.654785141348839,0.0003079791186648099
