method,trial,nrow,nelem,rt,val
duckdb,4,100000,10,0.022439652122557163,-0.01763386001132753
duckdb,4,100000,100,0.04753135237842798,0.016379920782018043
duckdb,4,100000,1000,0.19084383640438318,0.0019784448800774217
duckdb,4,100000,10000,2.2534279990941286,0.00030797911866480937
duckdb,5,1000,10,0.007110948674380779,0.01183288630751673
duckdb,5,1000,100,0.013983860611915588,-0.0027037305536025975
duckdb,5,1000,1000,0.07026018667966127,-0.005409076646064335
duckdb,5,1000,10000,0.5492635145783424,6.186438758137776e-05
duckdb,5,10000,10,0.00894897896796465,-0.01789649393032802
duckdb,5,10000,100,0.02095564641058445,-0.009228455319404378
duckdb,5,10000,1000,0.09063584450632334,-0.003127014850442378
duckdb,5,10000,10000,0.7344913193956017,0.0004524936390244064
duckdb,5,100000,10,0.022301984019577503,-0.01763386001132753
duckdb,5,100000,100,0.04756348207592964,0.016379920782018047
duckdb,5,100000,1000,0.1999527346342802,0.001978444880077422
duckdb,5,100000,10000,2.2760324692353606,0.00030797911866480904
duckdb,6,1000,10,0.007122059352695942,0.01183288630751673
duckdb,6,1000,100,0.013640915043652058,-0.0027037305536025975
duckdb,6,1000,1000,0.07037623506039381,-0.005409076646064335
duckdb,6,1000,10000,0.5463152509182692,6.186438758137776e-05
duckdb,6,10000,10,0.009274599142372608,-0.01789649393032802
duckdb,6,10000,100,0.021333024837076664,-0.009228455319404378
duckdb,6,10000,1000,0.09396901074796915,-0.003127014850442378
duckdb,6,10000,10000,0.7352393036708236,0.0004524936390244066
duckdb,6,100000,10,0.022241921164095402,-0.01763386001132753
duckdb,6,100000,100,0.047370911575853825,0.016379920782018047
duckdb,6,100000,1000,0.20551518723368645,0.001978444880077422
duckdb,6,100000,10000,2.2068842398002744,0.00030797911866480926
duckdb,7,1000,10,0.007231353782117367,0.01183288630751673
duckdb,7,1000,100,0.013492897152900696,-0.0027037305536025975
duckdb,7,1000,1000,0.07043294981122017,-0.005409076646064335
duckdb,7,1000,10000,0.5427908860146999,6.186438758137776e-05
duckdb,7,10000,10,0.009090033359825611,-0.01789649393032802
duckdb,7,10000,100,0.02119988575577736,-0.009228455319404378
duckdb,7,10000,1000,0.09404252842068672,-0.003127014850442377
duckdb,7,10000,10000,0.7450574422255158,0.0004524936390244073
duckdb,7,100000,10,0.022469867952167988,-0.01763386001132753
duckdb,7,100000,100,0.048171142116189,0.016379920782018047
duckdb,7,100000,1000,0.19594384636729956,0.0019784448800774217
duckdb,7,100000,10000,2.203448967076838,0.0003079791186648094
duckdb,8,1000,10,0.007108503021299839,0.01183288630751673
duckdb,8,1000,100,0.013692392036318779,-0.0027037305536025975
duckdb,8,1000,1000,0.07153728324919939,-0.005409076646064335
duckdb,8,1000,10000,0.5486860815435648,6.186438758137776e-05
duckdb,8,10000,10,0.009082108736038208,-0.01789649393032802
